"gene_id","transcript_id","protein_id","seqnames","strand","exon_number","product","start_transcript","end_transcript","start_gene","end_gene","transcript_number","Chrm.ID"
"FOXG_10826","XM_018390302.1","XP_018248726.1","NC_030986.1","-","1","hypothetical protein",943,2400,943,2400,1,"Chromosome_1"
"FOXG_20380","XM_018400662.1","XP_018248727.1","NC_030986.1","-","2","hypothetical protein",2889,3315,2889,3315,1,"Chromosome_1"
"FOXG_10827","XM_018390303.1","XP_018248728.1","NC_030986.1","+","7","hypothetical protein",3760,8264,3760,8264,1,"Chromosome_1"
"FOXG_10828","XM_018390304.1","XP_018248729.1","NC_030986.1","+","3","hypothetical protein",9090,9637,9090,9637,1,"Chromosome_1"
"FOXG_20381","XM_018400663.1","XP_018248730.1","NC_030986.1","-","2","hypothetical protein",10812,10975,10812,10975,1,"Chromosome_1"
"FOXG_20382","XM_018400664.1","XP_018248731.1","NC_030986.1","-","2","hypothetical protein",11615,11971,11615,11971,1,"Chromosome_1"
"FOXG_20383","XM_018400665.1","XP_018248732.1","NC_030986.1","-","5","hypothetical protein",35195,37020,35195,37020,2,"Chromosome_1"
"FOXG_20383","XM_018400666.1","XP_018248733.1","NC_030986.1","-","4","hypothetical protein",35195,37020,35195,37020,2,"Chromosome_1"
"FOXG_20384","XM_018400667.1","XP_018248734.1","NC_030986.1","-","2","hypothetical protein",37524,37849,37524,37849,1,"Chromosome_1"
"FOXG_10831","XM_018390305.1","XP_018248735.1","NC_030986.1","-","6","hypothetical protein",38408,40225,38408,40225,1,"Chromosome_1"
"FOXG_10832","XM_018390306.1","XP_018248736.1","NC_030986.1","+","2","hypothetical protein",40750,41833,40750,41833,1,"Chromosome_1"
"FOXG_10833","XM_018390307.1","XP_018248737.1","NC_030986.1","+","5","hypothetical protein",42455,43569,42455,43569,1,"Chromosome_1"
"FOXG_20385","XM_018400668.1","XP_018248738.1","NC_030986.1","+","3","hypothetical protein",44632,44913,44632,44913,1,"Chromosome_1"
"FOXG_20386","XM_018400669.1","XP_018248739.1","NC_030986.1","-","1","hypothetical protein",45617,46663,45617,46663,1,"Chromosome_1"
"FOXG_20387","XM_018400670.1","XP_018248740.1","NC_030986.1","+","2","hypothetical protein",47415,48312,47415,48312,1,"Chromosome_1"
"FOXG_20388","XM_018400671.1","XP_018248741.1","NC_030986.1","-","4","hypothetical protein",49225,50816,49225,50816,1,"Chromosome_1"
"FOXG_10837","XM_018390308.1","XP_018248742.1","NC_030986.1","+","1","hypothetical protein",51295,52224,51295,52224,1,"Chromosome_1"
"FOXG_20389","XM_018400672.1","XP_018248743.1","NC_030986.1","+","3","hypothetical protein",54513,55611,54513,55611,1,"Chromosome_1"
"FOXG_10838","XM_018390309.1","XP_018248744.1","NC_030986.1","+","3","hypothetical protein",58358,59767,58358,59767,1,"Chromosome_1"
"FOXG_10839","XM_018390310.1","XP_018248745.1","NC_030986.1","+","4","hypothetical protein",62479,64227,62479,64227,1,"Chromosome_1"
"FOXG_10840","XM_018390311.1","XP_018248746.1","NC_030986.1","+","1","hypothetical protein",64532,66059,64532,66059,1,"Chromosome_1"
"FOXG_10841","XM_018390312.1","XP_018248747.1","NC_030986.1","-","1","hypothetical protein",66008,68739,66008,68739,1,"Chromosome_1"
"FOXG_10842","XM_018390313.1","XP_018248748.1","NC_030986.1","-","2","hypothetical protein",69420,71390,69420,71390,1,"Chromosome_1"
"FOXG_10843","XM_018390314.1","XP_018248749.1","NC_030986.1","+","3","hypothetical protein",71569,74812,71569,74812,1,"Chromosome_1"
"FOXG_10844","XM_018390315.1","XP_018248750.1","NC_030986.1","-","3","hypothetical protein",73377,75578,73377,75578,3,"Chromosome_1"
"FOXG_10844","XM_018390317.1","XP_018248752.1","NC_030986.1","-","2","hypothetical protein",73377,75578,73377,75578,3,"Chromosome_1"
"FOXG_10844","XM_018390316.1","XP_018248751.1","NC_030986.1","-","2","hypothetical protein",73377,75578,73377,75578,3,"Chromosome_1"
"FOXG_10845","XM_018390318.1","XP_018248753.1","NC_030986.1","+","1","hypothetical protein",76379,79254,76379,79254,1,"Chromosome_1"
"FOXG_20390","XM_018400673.1","XP_018248754.1","NC_030986.1","+","6","hypothetical protein",79641,81586,79641,81586,1,"Chromosome_1"
"FOXG_10846","XM_018390319.1","XP_018248755.1","NC_030986.1","-","2","hypothetical protein",81679,83758,81679,83758,1,"Chromosome_1"
"FOXG_10847","XM_018390320.1","XP_018248756.1","NC_030986.1","+","2","hypothetical protein",84247,85885,84247,85885,1,"Chromosome_1"
"FOXG_10848","XM_018390321.1","XP_018248757.1","NC_030986.1","-","2","hypothetical protein",85722,87522,85722,87522,1,"Chromosome_1"
"FOXG_10849","XM_018390322.1","XP_018248758.1","NC_030986.1","-","3","hypothetical protein",88390,90059,88390,90059,1,"Chromosome_1"
"FOXG_20391","XM_018400674.1","XP_018248759.1","NC_030986.1","-","1","hypothetical protein",90643,92126,90643,92126,1,"Chromosome_1"
"FOXG_10850","XM_018390323.1","XP_018248760.1","NC_030986.1","+","2","hypothetical protein",92659,93682,92659,93682,1,"Chromosome_1"
